model,method,eac_lambda,eac_beta,trad_lambda,NDCG@K,Entropy,ERR@K,TCI@K,HHI@K
most_popular,topic_eac,0.9,0.9,0.9,0.4671218058379338,1.3821791076241785,0.1071128220188962,0.0523582751243195,0.064507528007341
most_popular,entity_eac,0.1,0.9,0.9,0.4045450568019092,1.350556214936231,0.0994759440594171,0.0581646355112816,0.0702394478765216
most_popular,mv_eac,0.9,0.9,0.9,0.465727034880619,1.4358088334776304,0.1088884889511542,0.0535757646037851,0.0657094086473264
most_popular,category_eac,0.9,0.2,0.9,0.4251320401350327,1.4554080265965197,0.1146946776349977,0.0565195809157077,0.0686154837244806
most_popular,sentiment_eac,0.9,0.2,0.9,0.4041591372631173,1.3559318697200122,0.1163916217108945,0.0587644844236091,0.0708316064181782
itemknn,topic_eac,0.9,0.7,0.9,0.4727148251267718,1.3801989508920227,0.107142420891804,0.0524325952030569,0.0645808952645562
itemknn,entity_eac,0.9,0.9,0.9,0.4484620603080534,1.329391203853095,0.1031003227098243,0.0583263621232968,0.070399101070434
itemknn,mv_eac,0.9,0.9,0.9,0.4708120953272242,1.4347540416303248,0.108785939595423,0.0535772686334079,0.0657108933945181
itemknn,category_eac,0.9,0.2,0.9,0.4524359778707112,1.4521651102655946,0.1152882211377717,0.0566087745440937,0.0687035338448105
itemknn,sentiment_eac,0.9,0.1,0.9,0.4437338245048423,1.3379641997292728,0.1156694440732375,0.0585939512255014,0.0706632595431232
nrms,topic_eac,0.3,0.7,0.7,0.4916463862453252,1.3609982797559224,0.1034615933757563,0.0534839907372803,0.0656188113688536
nrms,entity_eac,0.1,0.9,0.1,0.4994220778372064,1.3161549777043635,0.0971431797306289,0.0594691756381624,0.0715272631299809
nrms,mv_eac,0.3,0.9,0.5,0.49489798420303,1.407259694846808,0.1021312036911688,0.0550165691556262,0.0671317413459386
nrms,category_eac,0.7,0.2,0.9,0.4838038595539113,1.4280845833338338,0.1057692242449326,0.0572549676241956,0.0693414423982444
nrms,sentiment_eac,0.9,0.1,0.9,0.4842276214556542,1.320266374101231,0.1064983030705282,0.0594259240434021,0.0714845660428457
