model,eps,lambda,beta,NDCG@K,ERR@K,TCI@K
most_popular,1e-10,0.1,0.9,0.4045450568019092,0.09947594405941712,0.058164635511281634
most_popular,1e-06,0.1,0.9,0.403781991674183,0.09840669012891723,0.05821386877236705
most_popular,0.0001,0.1,0.9,0.4039705215656061,0.09787944235129017,0.05820791094684615
most_popular,0.01,0.1,0.9,0.40152876183903224,0.09827249989262488,0.05847750586221555
itemknn,1e-10,0.9,0.9,0.44846206030805347,0.10310032270982435,0.058326362123296824
itemknn,1e-06,0.9,0.9,0.4492366616216782,0.10046544340932476,0.058157382777976364
itemknn,0.0001,0.9,0.9,0.4495070816480559,0.0983331482582901,0.05804539528958225
itemknn,0.01,0.9,0.9,0.4488662543084355,0.09429696297252343,0.05799577001454288
nrms,1e-10,0.1,0.9,0.4994220778372064,0.09714317973062898,0.05946917563816249
nrms,1e-06,0.1,0.9,0.49987242630717943,0.09695183627569026,0.05949212602986272
nrms,0.0001,0.1,0.9,0.4999121958392147,0.09689438415326533,0.05951420943968453
nrms,0.01,0.1,0.9,0.49994917381082926,0.09665458668319976,0.05951588308952067
