model,view,lambda,n_impressions,different_sets,different_sets_equal_objective,mcf_better,greedy_better
most_popular,category,0.1,3000,920,920,0,0
most_popular,category,0.7,3000,933,933,0,0
most_popular,category,0.9,3000,930,930,0,0
most_popular,sentiment,0.1,3000,905,905,0,0
most_popular,sentiment,0.7,3000,894,894,0,0
most_popular,sentiment,0.9,3000,915,915,0,0
itemknn,category,0.1,3000,204,204,0,0
itemknn,category,0.7,3000,205,205,0,0
itemknn,category,0.9,3000,205,205,0,0
itemknn,sentiment,0.1,3000,205,205,0,0
itemknn,sentiment,0.7,3000,204,204,0,0
itemknn,sentiment,0.9,3000,202,202,0,0
nrms,category,0.1,3000,204,204,0,0
nrms,category,0.7,3000,205,205,0,0
nrms,category,0.9,3000,205,205,0,0
nrms,sentiment,0.1,3000,206,206,0,0
nrms,sentiment,0.7,3000,204,204,0,0
nrms,sentiment,0.9,3000,202,202,0,0
