model,comparison,variant,d
most_popular,entity_eac vs traditional_entity_eac,ERR,-0.41954446834025694
most_popular,entity_eac vs traditional_entity_eac,ERR_cross_article,-0.5663450728628896
most_popular,entity_eac vs traditional_entity_eac,entity_articles,0.208491649317062
most_popular,entity_eac vs traditional_entity_eac,entity_mentions,-0.3641588865439677
most_popular,entity_eac vs traditional_entity_eac,entities_per_article,-0.27728901714011406
most_popular,entity_eac vs traditional_entity_eac,TCI,-0.12176012332838876
most_popular,entity_eac vs traditional_entity_eac,TCI_article_mass,-0.1182821554672698
most_popular,topic_eac vs traditional_topic_eac,ERR,-0.007424266415557865
most_popular,topic_eac vs traditional_topic_eac,ERR_cross_article,-0.046202253270735225
most_popular,topic_eac vs traditional_topic_eac,entity_articles,-0.059594405276073854
most_popular,topic_eac vs traditional_topic_eac,entity_mentions,-0.030626978142353788
most_popular,topic_eac vs traditional_topic_eac,entities_per_article,-0.026504902552614226
most_popular,topic_eac vs traditional_topic_eac,TCI,-0.390146766820547
most_popular,topic_eac vs traditional_topic_eac,TCI_article_mass,-0.2619575348070516
most_popular,mv_eac vs traditional_mv_eac,ERR,-0.07344541015120633
most_popular,mv_eac vs traditional_mv_eac,ERR_cross_article,-0.22457003180104948
most_popular,mv_eac vs traditional_mv_eac,entity_articles,0.31837657604386743
most_popular,mv_eac vs traditional_mv_eac,entity_mentions,-0.04965816352114733
most_popular,mv_eac vs traditional_mv_eac,entities_per_article,-0.0243768800204556
most_popular,mv_eac vs traditional_mv_eac,TCI,-0.22413066240772628
most_popular,mv_eac vs traditional_mv_eac,TCI_article_mass,-0.1728625869589544
most_popular,mv_eac vs topic_eac,ERR,0.04793972915535224
most_popular,mv_eac vs topic_eac,ERR_cross_article,-0.08406362892276617
most_popular,mv_eac vs topic_eac,entity_articles,0.37069091876027427
most_popular,mv_eac vs topic_eac,entity_mentions,0.30923233495195207
most_popular,mv_eac vs topic_eac,entities_per_article,0.3114921969942478
most_popular,mv_eac vs topic_eac,TCI,0.4094808347815546
most_popular,mv_eac vs topic_eac,TCI_article_mass,0.3297560476006689
most_popular,mv_eac vs original,ERR,-0.20665460097682775
most_popular,mv_eac vs original,ERR_cross_article,-0.26210365289654036
most_popular,mv_eac vs original,entity_articles,0.418784920139786
most_popular,mv_eac vs original,entity_mentions,0.1952648049847487
most_popular,mv_eac vs original,entities_per_article,0.26810105717329974
most_popular,mv_eac vs original,TCI,-0.49073032492895186
most_popular,mv_eac vs original,TCI_article_mass,-0.4517742684296961
most_popular,ablation_no_entity vs mv_eac,ERR,-0.034331131525107916
most_popular,ablation_no_entity vs mv_eac,ERR_cross_article,0.04338311840573385
most_popular,ablation_no_entity vs mv_eac,entity_articles,-0.3951877172503699
most_popular,ablation_no_entity vs mv_eac,entity_mentions,-0.3572319891441864
most_popular,ablation_no_entity vs mv_eac,entities_per_article,-0.3625332078545573
most_popular,ablation_no_entity vs mv_eac,TCI,-0.23053744676487695
most_popular,ablation_no_entity vs mv_eac,TCI_article_mass,-0.1636167140746815
most_popular,ablation_no_topic vs mv_eac,ERR,0.03605150898264305
most_popular,ablation_no_topic vs mv_eac,ERR_cross_article,-0.10937217372590192
most_popular,ablation_no_topic vs mv_eac,entity_articles,0.12808213462182003
most_popular,ablation_no_topic vs mv_eac,entity_mentions,0.2729480358015523
most_popular,ablation_no_topic vs mv_eac,entities_per_article,0.2795884351831407
most_popular,ablation_no_topic vs mv_eac,TCI,0.4978018826350664
most_popular,ablation_no_topic vs mv_eac,TCI_article_mass,0.4528694288895813
itemknn,entity_eac vs traditional_entity_eac,ERR,-0.4440593308101727
itemknn,entity_eac vs traditional_entity_eac,ERR_cross_article,-0.523618489971222
itemknn,entity_eac vs traditional_entity_eac,entity_articles,0.2511843530231562
itemknn,entity_eac vs traditional_entity_eac,entity_mentions,-0.19608322457482727
itemknn,entity_eac vs traditional_entity_eac,entities_per_article,-0.018127366062588517
itemknn,entity_eac vs traditional_entity_eac,TCI,-0.11019326896535046
