model,method,n,NDCG@K,ILD@K,Entropy,ERR@K,TCI@K
most_popular,ablation_no_category,195327,0.30897264148419656,0.8264178076308504,1.5249373594368505,0.11886194214636064,0.03601842452499298
most_popular,ablation_no_entity,195327,0.2972971490320129,0.8856668276502708,1.7378068693608695,0.11993714397179396,0.035098280112077246
most_popular,ablation_no_topic,195327,0.28708402886759504,0.8830753898163934,1.7175705944544,0.1255453297353777,0.04450501096971052
most_popular,category_eac,195327,0.25122983753014205,0.891128210641642,1.7481424561700112,0.13814902490161848,0.044175826985382784
most_popular,entity_eac,195327,0.24990671751888222,0.8135049885007649,1.4805952739786659,0.0982008129684528,0.04827000546630461
most_popular,mcf_category,195327,0.25402649897178964,0.8491104660390013,1.6143389289384549,0.1368694989935513,0.04609311933711057
most_popular,mcf_entity,195327,0.23178381524087613,0.791824422066017,1.4254260214114118,0.16115419608965878,0.05060834167055213
most_popular,mcf_sentiment,195327,0.25424313307095825,0.8098271673199872,1.4731936943111474,0.14142419949235788,0.04959858568674271
most_popular,mcf_topic,195327,0.2537347216728689,0.8088005128721467,1.4639205323356896,0.13479280058122836,0.04767952989503411
most_popular,mv4_at_mv3params,195327,0.29774650370776073,0.8758700367418057,1.6968703588227605,0.1269625374037415,0.03731190388907677
most_popular,mv_eac,195327,0.304482936640837,0.8759926800812087,1.698433858412111,0.1226094241092046,0.03652319633107996
most_popular,original,195327,0.21518511087179593,0.8086151826310637,1.472724896108653,0.14673755727352214,0.0506826626885201
most_popular,sentiment_eac,195327,0.2349568656555844,0.8174455030680744,1.4943820365942222,0.14211488047459778,0.04992061024792947
most_popular,sweep_wtopic_0.00,195327,0.28708402886759504,0.8830753898163934,1.7175705944544,0.1255453297353777,0.04450501096971052
most_popular,sweep_wtopic_0.15,195327,0.29756792818739564,0.8812501884304555,1.7131818282189795,0.12370735048295763,0.03872526584685212
most_popular,sweep_wtopic_0.50,195327,0.3062387090273949,0.8690058778925143,1.6739499029992067,0.12117959047596227,0.035251160297507945
most_popular,sweep_wtopic_0.70,195327,0.3050245546080025,0.8574243874801403,1.6326563649535317,0.1199255337277522,0.03419946177266473
most_popular,sweep_wtopic_0.85,195327,0.3034563192500225,0.847802232495593,1.59982201483911,0.11929286108948403,0.033695106860854154
most_popular,sweep_wtopic_1.00,195327,0.30089006034891186,0.8352643970822717,1.5597201893573582,0.11845450775066275,0.03342613537591274
most_popular,topic_eac,195327,0.30089006034891186,0.8352643970822717,1.5597201893573582,0.11845450775066275,0.03342613537591274
most_popular,traditional_category_eac,195327,0.26513131624957814,0.8447077066776341,1.5975451784285457,0.133601010188386,0.04619236203182184
most_popular,traditional_entity_eac,195327,0.2766431613947306,0.7863317525084715,1.4040618748146672,0.14427801858255068,0.050611385286466595
most_popular,traditional_mv_eac,195327,0.30713647982644454,0.8473229223018041,1.6016783040577314,0.1278196446149144,0.038423428103298046
most_popular,traditional_sentiment_eac,195327,0.24360303193439833,0.8099142008586172,1.47351227828439,0.1413999888986008,0.049558807930132634
most_popular,traditional_topic_eac,195327,0.3071480064385674,0.830244439097286,1.5389981152342556,0.11893254070202619,0.0365342440400307
itemknn,ablation_no_category,195327,0.3136311679782886,0.8251492795841504,1.5200605712204946,0.11815067333612404,0.03605446517661447
itemknn,ablation_no_entity,195327,0.30373236350995614,0.8854262055140584,1.7369301885580772,0.12061393890336282,0.0351051043095494
itemknn,ablation_no_topic,195327,0.29769436622279577,0.8825520508912976,1.7154308820419355,0.12626011964887274,0.04433263500777338
itemknn,category_eac,195327,0.28874141087789984,0.8882670257226771,1.739993216840331,0.14018848324933808,0.04435257305061912
itemknn,entity_eac,195327,0.29892283301858824,0.796820943568705,1.4270532962783504,0.1077562697588223,0.048831563482992134
itemknn,mcf_category,195327,0.30760274513604213,0.8420428876249115,1.5853706595652806,0.1347593210454977,0.046444625076822864
itemknn,mcf_entity,195327,0.2822842661791731,0.790015148386495,1.4152963452198626,0.1509455518916898,0.05019081636227307
itemknn,mcf_sentiment,195327,0.29527820321183457,0.7990082727369431,1.4361230785028578,0.13935786375711479,0.049605843214941825
itemknn,mcf_topic,195327,0.3073270126794146,0.8008748861595627,1.434476678616814,0.1324843057541422,0.04749060952162919
itemknn,mv4_at_mv3params,195327,0.3036430225439704,0.8749827497251049,1.693180382913915,0.12696324112282353,0.03728927223821067
itemknn,mv_eac,195327,0.310987703367056,0.8752333835624933,1.6953255566773773,0.12256860823784221,0.036537172991654494
itemknn,original,195327,0.27973919642253076,0.7971636167953113,1.4341461142464862,0.145104797922524,0.05021619239919909
itemknn,sentiment_eac,195327,0.28534439608901957,0.8029904268795973,1.44687654830262,0.1406085103705194,0.04948039665661336
itemknn,sweep_wtopic_0.00,195327,0.29769436622279577,0.8825520508912976,1.7154308820419355,0.12626011964887274,0.04433263500777338
